About,О системе,
Account,Аккаунт,
Address,Адрес,
Address Title is mandatory.,Название адреса является обязательным.,
Accepted,Приняты,
Agent,Агент,
Amended From,Измененный С,
Area,Площадь,
BIK,БИК,
Bank,Банк,
By guarantee letter,По гарантийному письму,
CheckerBoard,Шахматка,
City,Город,
Commission Type,Тип комиссии,
Company,Организация,
Company Address,Адрес компании,
Company Name,Название компании,
Company Type,Тип компании,
CompanyTypes,Типы компаний,
Contact,Контакты,
Cor Account,Кор. счет,
Current,Текущий,
Date,Дата,
Deal Date,Дата сделки,
Deal Information,Информация по сделке,
Deal Name,Договор аренды,
Deal Period,Срок сделки,
Dealer,Дилер,
Default Price,Цена по умолчанию,
Director,Директор,
Error,Ошибка,
Error - Linked address not found,Ошибка - Связанный адрес не найден,
Error - Linked checkerboard record not found,Ошибка - Связанная шахматка не найдена,
Error - Linked guarantee letter not found,Ошибка - Связанное гарантийное письмо не найдено,
Executor Name,Имя исполнителя,
Executor Phone,Телефон исполнителя,
Exp Date,Дата окончания,
Exp Month,Месяц окончания,
Frappe Support,Поддержка Frappe,
From every transaction,С каждого платежа,
Full Address,Полный адрес,
Full name,ФИО,
Guarantee Letter,Гарантийное письмо,
INN,ИНН,
In use,Использовать,
Inaccuracy in EGRUL,Недостоверность,
Issued By,Выдан,
KPP,КПП,
Keyboard Shortcuts,Горячие клавиши,
Log out,Выход,
Manage Subscriptions,Управление подписками,
Mandatory Information,Обязательная информация,
My Profile,Мой профиль,
My Settings,Мои настройки,
Name in Docs,Имя в документах,
Need Aproove,Требуется подтверждение,
OGRN,ОГРН,
Office,Офис,
Office / Warehouse,Офис / Склад,
One-time payment,Разовый платеж,
Open,Открыт,
Order information,Информация о заказе,
Our Company,Наша компания,
OurCompany,Наша Компания,
Owner,Владелец,
Owner Passport,Паспорт собственника,
Owner Percentage,Доля собственника,
Owner Registration,Регистрация собственника,
OwnerDeal,Сделки с собственниками,
Passport,Паспорт,
Payment Amount,Сумма платежа,
Payment from 1st,Платежи с 1-го числа,
Place,Место,
Please enter full director FIO,"Пожалуйста, введите полное ФИО директора",
Please set direcor's last and middle name,"Пожалуйста, введите фамили и отчетсво директора",
Pledge,Залог,
Prefix for Deals,Префикс для сделок,
Price,Цена,
Price per Month,Цена за месяц,
Rating,Рейтинг,
Registration,Регистрация,
Registration Date,Дата регистрации,
Registration date,Дата регистрации,
Registry,Кадастр,
Reload,Обновить страницу,
Rent Deal,Сделка аренды,
Rent Period,Срок аренды,
Rent Period (Months),Срок аренды (месяцев),
Rent Type,Тип аренды,
RentDeal,Сделки аренды,
Result of Order,Результат заказа,
Revenue,Доход,
Rielt Flow,Поток сделок,
RieltFlow,Поток,
Session Defaults,Сеансы по умолчанию,
Short Name,Короткое имя,
Signature,Подпись,
Spb Rielt,Управление недвижимостью,
Square,Площадь,
Stakeholders,Участники,
System Manager,Менеджер системы,
Tax Ammount,Налоговая ставка,
Tax Area,Налоговый район,
Tax Code,Код налоговой,
TaxArea,Налоговый район,
TaxCode,Код налоговой,
Tenant - individual,Арендатор - физлицо,
Tenant Information,Информация об арендаторе,
Tenant Name,Имя арендатора,
Toggle Full Width,Переключить ширину,
Toggle Theme,Переключить тему,
Transferred,Переданы,
Update from EGRUL,Обновить из ЕГРЮЛ,
View Website,Посмотреть сайт,
Warehouse Rent,Аренда склада,
Week,Неделя,
When Iissued,Когда выдан,
primary,Первичная,
removal,Переезд,
FUND,ФОНД,
LETTERS,ПИСЬМА,
RENT,АРЕНДА,
GUARANTEE LETTERS,ГАРАНТИЙНЫЕ ПИСЬМА,
PREMISES FOR RENT,АРЕНДА НЕДВИЖИМОСТИ,
PREMISES FUND,ФОНД НЕДВИЖИМОСТИ,
Guarantee letters,Гарантийные письма,
Rent Deals,Сделки аренды,
Owners,Собственники,
Drafts,Черновики,
Without Deal,Без договора,
Orders History,История заказов,
Distribution by Tax,Распределение по налоговым,
Distribution by Clients,Распределение по клиентам,
To Form,На форму,
For Renewal,На продление,
RentDeals History,История сделок аренды,
RieltFlow History,История заказов,
Owner Deals,Собственники,
Our Companies,Наши компании,
Tax Offices,Налоговые,
Deals History,История сделок,
HOME,ГЛАВНАЯ,
Letters,Письма,
Client Documents,Клиенты,
Owner Documents,Собственники,
Directory,Справочник,
Guarantee Letters,Гарантийные письма,
Rent Deals,Сделки аренды,
Normal Rent,Нормальная аренда,
Rent by Guarantee,Аренда по гарантии,

